"Marker","input","input2"
NA,"",""
NA,"",""
"CD45","",""
"DNA","",""
"BC","",""
"BC","",""
"BC","",""
"BC","",""
"BC","",""
"CD14_1","",""
"BC","",""
"CD14_2","",""
"CD57","","Y"
"Va7.2","","Y"
"CD3","",""
"IFN-g","Y",""
"CD8","",""
"GrzB","Y",""
"CD45RA","","Y"
"CD27","","Y"
"MIP1b","Y",""
"TNF-a","Y",""
"CD28","","Y"
"IL-2","Y",""
"KLRG1","","Y"
"CCR7","","Y"
"Perforin","Y",""
"CXCR5","",""
"CD45RO","","Y"
"CTLA-4","Y",""
"CD39","Y",""
"IL-8","Y",""
"CD107a","Y",""
"ICOS","","Y"
"PD-1","","Y"
"MIP1a","Y",""
"CD4CD19CD56","",""
"IL-10","Y",""
"CD62L","","Y"
"CD40L","Y",""
"CD38","","Y"
"GrzA","Y",""
"CXCR3","",""
"CXCR1","",""
"CXCR4","",""
"CXCR6","",""
"GM-CSF","Y",""
"CCR4","",""
"CCR6","",""
"CCR5","",""
"CD127","","Y"
"CD161_1","","Y"
"CD161_2","","Y"
"Cisplatin","",""
NA,"",""
